#NAME	ERR9752048	ERR9752060	ERR9752066	ERR9752099	ERR9752105	ERR9752116	ERR9752121	ERR9752145	ERR9752159	ERR9752171	ERR9752177	ERR9752183	ERR9752193	ERR9752233	ERR9752239	ERR9752255	ERR9752265	ERR9752280	ERR9752286	ERR9752297	ERR9752317	ERR9752352	ERR9752376	ERR9752409	ERR9752414	ERR9752423	ERR9752438	ERR9752458
K00001	3.50846	8.22336	27.612282	0.0	2.11274	29.5538	0.4389942	0.245576	0.0	78.916	23.0378	10.38224	0.0	1.8894776	11.16522	15.5692	2.456543	7.0388594	48.825476	1.755296	0.678173	0.347248	4.3874949999999995	0.0	0.0	62.280237	0.0	106.7319
K00003	6.0148410000000005	1.3213	9.226496000000001	12.53864	85.483087	22.14037	1.006192	11.649309	0.916888	95.2134	7.352481	12.97374	1.568888	60.9993757	0.208334	19.439034	83.509012	7.5604984	2.774144	124.569493	0.958303	1.2610245	13.593187	6.6000901	0.0	0.0	8.91168	4.8953446000000005
K00005	5.7020403	142.1804	0.0	0.0	4.473376999999999	0.9648635000000001	17.8091	12.357117	184.21875129999998	40.8418	6.095506	0.0	0.0	107.573773	3.02404	0.0	3.27054	25.765781999999998	0.0	0.0	28.6712	0.0	0.0	48.7516	37.2018	9.29976	6.908267	0.0
K00009	18.259225999999998	53.886250000000004	124.9926	3.16546	133.032897	78.557965	29.826192	15.447903	66.855081	57.889781	9.86946	102.0041	118.239593	137.502743	66.8491922	16.036101000000002	3.62874	55.619051	35.5976	12.46022	111.922795	163.30513000000002	477.314	59.653298	27.264	12.6576602	1.325384	105.705004
K00012	26.130029999999998	108.6288	0.0	0.0	6.415019	15.762399	2.53318	37.57799	21.030855	39.7304	5.485201	0.914846	17.23024	0.0	0.0	0.0	0.0	22.01382	0.0	0.0	0.0	0.0	0.0	22.961068	31.764208	0.0	0.0	0.0
K00013	213.1357933	151.719228	109.458034	403.546	303.068188	332.959806	134.577999	115.86702000000001	109.334732	885.10181	429.21379	12.74628	0.0	93.740822	97.8877244	24.8328	173.873989	220.059529	322.841935	219.28574600000002	1.5280173	0.621442	9.175098	62.35958	89.5635312	263.42771	413.974603	1.402372
K00014	44.2103819	59.426582	4.012803	15.94232	90.164385	29.864995999999998	93.361824	75.235349	40.373803	74.40592000000001	2.14936	30.33882	0.607198	2.4036049999999998	13.717740899999999	82.92836199999999	242.199612	27.560223399999998	31.680075000000002	339.9539935	37.5864253	9.61722	227.85388	24.015707	103.43125	94.80887	11.60832	0.0
K00016	246.14208	248.2995691	167.75319299999998	681.669699	443.694019	493.07187799999997	1.6149013	104.3168213	329.54443119999996	31.32801	502.94257699999997	112.84897000000001	5.920536	27.0659609	201.4756672	22.320826	268.5400318	251.702023	534.8557121	269.582332	102.777654	204.5799782	88.192503	0.796676	20.985362	581.515334	459.220032	2.9138
K00018	25.07163	2.1377	0.0	0.0	5.789699000000001	0.0	0.0	0.491968	0.0	39.7316	7.393256	0.0	0.0	0.0	0.0	0.0	0.0	3.38938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46771	0.0
K00024	87.7363	101.7551143	154.924283	0.0	79.6768442	26.175812399999998	192.3537164	70.4769561	95.15982500000001	91.53614	16.152617	168.81696	87.51843600000001	101.063767	36.7024	52.13024	99.361369	100.9123239	38.1811806	68.06523770000001	109.2202	111.7956	196.291337	74.320567	96.0168788	60.6184466	2.17086	98.507192
K00027	1.65924	36.43965	0.0	0.0	4.65328	4.2063948	44.490604000000005	0.51855	45.976389	85.88	1.5821124	115.3591	100.097	163.843804	1.31985	187.1046	82.02659	40.5342	0.0	0.0	154.1513	172.9514	255.778312	98.4376376	35.116625	0.667558	0.0	77.80597
K00029	1.831426	35.3138	0.0	0.0	9.3159776	1.5543718000000002	1.055558	0.607794	57.2796302	34.2106	0.215436	44.039606	66.78003799999999	82.279951	13.75736	27.56686	169.7887	1.15489	0.0	217.992	54.0122	58.3564	177.3076	17.912197	0.966316	9.672024	0.32239	14.932383600000001
K00030	5.58466	0.0	0.0	0.0	1.50599	0.0	0.0	0.0	0.0	0.0	6.19434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00031	23.984415000000002	52.42842	56.1939536	0.0	12.7147053	13.0919443	0.0	53.1895911	18.3648993	46.954	20.056442	54.32323	0.0	78.4155897	11.1642755	7.5209150000000005	6.6581889	0.408898	2.0944823	2.630576	33.394394999999996	23.896265	153.707216	5.2588751	0.0	9.716105800000001	1.778784	37.203213000000005
K00033	27.94381	6.93752	2.03332	450.20962	74.67419699999999	44.221369	0.269592	0.0	13.9298428	0.0	9.986481	8.76516	0.0	3.08068	6.742968	1.092972	111.89545199999999	7.1096651	22.875629	4.155664	26.057796	0.0	25.9506	0.0	0.0	0.0	0.0	0.544548
K00036	35.26516	75.483755	45.778414	4.81186	129.3047318	38.7774421	39.908185	48.799175999999996	79.437442	65.28658800000001	2.4090407	80.8641313	62.9514	87.2463882	32.0394321	40.2039351	291.733796	18.68331	2.491104	155.002386	70.970405	149.022615	140.7026105	17.8762417	47.690550800000004	48.03899	2.8180009999999998	25.7110906
K00040	5.65293	0.0	0.0	0.0	0.0	0.345868	14.810542	0.776122	0.0	0.0	0.36723	0.0	0.0	5.90014	17.19038	0.0	4.86352	9.25611	0.0	0.0	0.0	0.0	194.4558	5.27774	9.309171599999999	5.603618	0.0	9.72438
K00041	28.7021519	58.275611	0.0	0.0	7.324713	6.536563	81.7258	65.601941	21.3328	15.78854	3.875781	0.0	33.6532	44.989218	12.441416	50.214537	1.888232	21.18144	0.0	0.0	0.0	0.0	142.8702	45.518425	16.403575	20.271812999999998	0.0	76.28701000000001
K00042	19.47668	37.9374	1.584824	0.0	12.96466	4.1224989999999995	45.15652	9.94268	91.438051	32.48585	1.952884	115.226	73.325779	40.0211849	23.47631	0.563302	188.36738	88.47875	0.0	143.2046	126.6458	104.61513	216.617762	121.76492	45.6005526	29.783312000000002	1.36797	57.3167608
K00045	2.721037	14.94412	0.0	0.0	0.0	0.0	0.0	25.438	0.0	0.0	0.797149	0.0	0.0	0.0	0.0	13.07187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00048	5.88292	0.0	0.0	0.0	0.0	1.734564	8.10196	12.083264999999999	0.0	0.0	0.268846	48.1624	2.56268	28.787	21.9854	5.63004	146.6706	6.0611	0.0	0.0	0.0	12.0107	0.0	14.148522	35.33819	9.03582	1.069412	0.0
K00052	218.09560100000002	190.1695478	223.974257	428.168	196.58676400000002	270.8444156	124.3950021	169.60315709999998	199.07027	114.98343100000001	240.52567770000002	142.20893999999998	0.0	97.7279964	164.029085	77.6631327	120.01876	209.8196995	345.445703	166.67257099999998	109.6136099	80.0051887	169.24142	15.226963	194.6592286	218.5960985	309.060867	38.33157
K00053	312.132591	281.32383400000003	338.1175675	953.9502500000001	563.195604	989.572446	16.525783	177.9039421	328.140435	168.15879	1018.893953	206.20227	125.1171866	118.4548311	262.2815157	62.5413096	243.24606400000002	458.03994470000004	795.189469	272.287904	131.01053900000002	256.9700828	222.490327	71.022903	89.19945	693.2024484	858.43626	51.2108716
K00057	193.914634	183.6878527	278.35017600000003	558.4935	222.6918299	233.514093	11.750517799999999	113.744206	244.7084453	359.655572	88.706218	215.80976470000002	123.2333333	214.39988160000001	164.43238	69.731206	360.4858408	208.6302973	260.16162479999997	177.6270295	147.3396143	164.538453	435.52603	41.576811	72.118136	23.57821	303.46572	22.460406
