#NAME	subject1	subject2	subject3	subject4	subject5	subject6	subject7	subject8	subject9	subject10	subject11	subject12	subject13	subject14	subject15	subject16	subject17	subject18	subject19	subject20
K00001	391	729	96	313	273	414	1	141	658	13	0	1	21	1	237	168	2	6	21	144
K00002	668	1978	1648	2341	209	1417	5343	594	5192	1633	111	8	19	74	101	81	15	2	1	111
K00003	174	12	11	48	12	43	17	12	26	21	2	2	15	25	8	7	13	11	13	1
K00004	0	58	7	15	9	4	15	0	5	0	3	5	1	4	1	0	7	0	12	0
K00005	1	47	25	20	4	4	0	0	17	54	0	5	0	19	1	4	17	2	0	6
K00006	0	32	13	0	24	0	8	148	3	103	162	137	79	431	691	952	66	1029	408	145
K00007	655	0	202	45	1	58	7	15	65	0	2306	707	2541	948	675	869	893	889	129	1370
K00008	33	0	0	54	3	1	0	4	11	0	32	0	13	34	6	3	5	7	53	218
K00009	3	0	0	3	0	6	0	0	1	0	1	0	3	0	4	0	4	7	5	0
K00010	43	51	0	0	2	7	11	0	0	39	13	35	30	27	2	53	16	0	58	58
K00011	285	20838	13893	3808	1263	13796	1657	4541	4283	3054	4	0	22	77	59	7	14	70	20	0
K00012	3054	6075	11073	14117	6635	8481	6799	13203	6184	11677	27	1	215	45	36	2	57	111	6	10
K00013	124	109	274	14	0	55	59	30	28	25	1	17	0	0	2	0	0	1	1	0
K00014	408	82	69	3	143	10	76	354	0	495	21	15	0	24	4	0	0	11	5	1
K00015	3213	21431	5592	12752	15150	2626	18463	1406	8586	11342	77	19	10	74	146	30	0	1	40	3
K00016	20	19	12	19	140	47	278	7	62	26	8539	7968	4200	1655	2848	291	701	888	7561	3677
K00018	2	146	23	208	88	0	1	5	18	136	18963	543	16961	9687	12714	16669	3163	12218	3645	21452
K00019	2	0	0	0	1	11	0	15	0	8	180	10	28	8	26	90	54	19	18	0
K00020	0	1	0	0	0	0	2	5	39	3	4	19	305	74	16	149	276	106	20	107
K00021	195	3	0	10	26	34	5	29	109	20	4913	13284	16115	3770	21146	11745	8325	25288	11974	10600
K00022	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0
K00023	0	9	0	72	0	4	3	132	2	6	0	0	0	0	1	1	0	1	0	0
K00024	7300	71800	84659	2162	74679	51357	22780	165174	142989	75077	35	1	23	1	1	6	38	20	4	6
K00025	111499	66294	12675	31174	76081	32012	43881	33414	37582	8347	4	0	15	0	0	10	0	10	4	31
K00026	0	2	1	1	0	0	4	0	2	0	0	0	4	2	0	0	0	0	1	0
K00027	4	1	0	0	0	5	1	0	0	2	2	0	0	1	1	0	0	0	2	1
K00028	0	3	1	0	0	0	0	12	7	0	28	9	12	1	51	49	0	1	15	82
K00029	0	4	0	3	13	17	25	9	0	11	68079	50879	43992	42442	86251	66531	25823	100111	84270	67352
K00030	1	4	6	0	0	12	9	1	0	0	57936	41142	7970	16995	12110	24986	66476	93574	38808	25298
K00031	4	0	0	1	0	0	0	0	0	0	1	6	0	0	0	8	0	0	0	0
